Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
26-June-2018,1821,1862,1821,1852.7,1835.95133473636,1065791,20665,1956740409,893456,83.83,41,31.7
25-June-2018,1812,1824,1809,1820.45,1817.88383197341,215085,8218,390999544,104621,48.64,15,8.45
22-June-2018,1828.8,1829,1803.25,1811.8,1812.41292066077,200191,7852,362828755,102497,51.2,25.75,-17
21-June-2018,1830,1834,1818,1819.85,1823.60803637071,184984,6940,337338309,93180,50.37,16,-10.15
20-June-2018,1833,1836.6,1823,1826.3,1830.42929758345,204010,7939,373425881,108644,53.25,13.6,-6.7
19-June-2018,1822.65,1839.6,1822,1825.85,1830.89732472568,721683,10297,1321327474,567882,78.69,17.6,3.2
18-June-2018,1869,1870.7,1825.5,1830.7,1842.32952906359,522045,18725,961778919,287279,55.03,45.2,-38.3
15-June-2018,1801,1849,1791,1841.45,1821.93428204549,765529,21913,1394743529,261573,34.17,58,40.45
14-June-2018,1839,1840,1785,1792.25,1800.0528047329,313381,11016,564102348,117180,37.39,55,-46.75
13-June-2018,1815,1832,1800,1824.2,1818.65246060962,353957,13670,643724769,150466,42.51,32,9.2
12-June-2018,1756,1784.95,1753.5,1781,1777.00888388798,152861,3699,271635355,81891,53.57,31.45,25
11-June-2018,1747,1763.45,1742.8,1750.6,1754.68665749656,58160,2353,102052576,17988,30.93,20.65,3.6
8-June-2018,1736,1757.5,1736,1748.2,1748.52694673199,402906,2729,704491998,358186,88.9,21.5,12.2
7-June-2018,1725.4,1748.5,1725.4,1734.6,1736.94021428331,118908,3443,206536087,54478,45.82,23.1,9.2
6-June-2018,1724.7,1735.3,1716.3,1727.25,1727.47319249353,383083,2970,661765613,20663,5.39,19,2.55
5-June-2018,1745,1752.6,1713.45,1721.2,1728.82623852685,104701,6539,181009836,37823,36.12,39.15,-23.8
4-June-2018,1751.7,1752,1712.9,1744.55,1729.90010263428,242609,4871,419689334,157883,65.08,39.1,-7.15
1-June-2018,1758,1760,1719,1732.25,1743.04927696967,117215,4209,204311521,39157,33.41,41,-25.75
31-May-2018,1742.3,1758.7,1726.1,1744.8,1745.7661272827,156722,9289,273599959,57663,36.79,32.6,2.5
